title,heading,context,tokens
Purposes of the Residential Zones,MR-O (Multi-Family Residential - Orcutt) zone.,"Purposes of the Residential Zones
MR-O (Multi-Family Residential - Orcutt) zone.

The MR-O zone is applied to areas located within the Orcutt Community Plan that are appropriate for new high quality multi-family residential opportunities at densities considered by state law to be affordable by design to very low and low-income households. The regulations will ensure projects located in this zone will provide safe, aesthetically pleasing and desirable new residential neighborhoods that are compatible with existing developments. To achieve these purposes, this zone incorporates a number of basic, self-mitigating design components that promote quality design and efficient land use, the provision of open space, energy conservation, and recreational opportunities for residents and families. In addition, the regulations provide certainty to property owners, developers, and neighbors about the type of development and density allowed on these two sites. The application of the MR-O zone to Orcutt Community Plan Key Sites 3 and 30 will allow the development of not less than 372 multi-family housing units The minimum residential density within the MR-O zone shall be equal to the maximum allowed residential density of 20 units per acre, excluding private and public rights-of-way and except as required by state law.",251.0
Allowed Land Uses and Permit Requirements for Residential Zones,Permit Type Symbols,"Allowed Land Uses and Permit Requirements for Residential Zones
Permit Type Symbols

E means Allowed use, no permit required (Exempt). P means Permitted use, Land Use Permit required (Development Plan approval may also be required; see Subsection 35.23.030.C.) MCUP means Minor Conditional Use Permit required. CUP means Conditional Use Permit required. S means Permit determined by Specific Use Regulations ― Use Not Allowed",99.0
Allowed Land Uses and Permit Requirements for Residential Zones,Zone Symbols,"Allowed Land Uses and Permit Requirements for Residential Zones
Zone Symbols

RR means Residential Ranchette. R-2 meansTwo-Family Residential. R-1/E-1 means Single-Family Residential. DR means Design Residential. EX-1 means One-Family Exclusive Residential",62.0
Allowed Land Uses and Permit Requirements for Residential Zones,"Table 2-7 Agricultural, mining & energy facilities","Allowed Land Uses and Permit Requirements for Residential Zones
Table 2-7 Agricultural, mining & energy facilities

TABLE:
LAND USE | PERMIT REQUIRED BY ZONE | Specific Use Regulations
| | RR | R-1/E-1| EX-1 | R-2 | DR | |
Agricultural accessory structure | P | P | P | P | P | 35.42.020
Animal keeping (except equestrian facilities - see RECREATION) | S | S | S | S | S | 35.42.060
Aquaculture | CUP | ― | ― | ― | ― | 35.42.060
Cannabis – Cultivation, nursery, and microbusiness | ― | ― | ― | ― | ― |
Cultivated agriculture, orchard, vineyard | E | E | E | E | E |
Greenhouse, 300 sf or less | P | P | P | P | P | 35.42.140
Greenhouse, nore than 300 sf to 800sf | CUP | MCUP | MCUP | MCUP | ― | 35.42.140
Greenhouse, 800 sf or more | CUP | ― | ― | ― | ― | 35.42.140
Mining, extraction & quarrying of natural resources, not including gas, oil & other hydrocarbons | CUP | CUP | CUP | CUP | ― | 35.82.160
Mining - Surface, less than 1,000 cubic yards | P | P | P | P | P | 35.82.160
Mining - Surface, 1,000 cubic yards or more | CUP | CUP | CUP | CUP | CUP | 35.82.160
Mining - Surface, 1,000 cubic yards or more | S | ― | ― | ― | ― | 35.5",404.0
Zones Development Standards - Residential Ranchette (RR),Maximum Density,"Zones Development Standards - Residential Ranchette (RR)
Maximum Density

Maximum number of dwelling units allowed on a lot. The actual number of units allowed will be determined through subdivision or planning permit approval.. The maximum density for Residential Ranchette zones will be one-family dwelling per lot; plus one or more accessory dwelling units and/or one junior accessory dwelling unit per lot where allowed in compliance with Section 35.42.015 (Accessory Dwelling Units and Junior Accessory Dwelling Units); Agricultural employee housing and farmworker housing if allowed by Section 35.23.030 (Residential Zones Allowable Land Uses). The lot shall also comply with Section 35.23.040 (Residential Zones Lot Standards), as applicable.",154.0
Zones Development Standards - Residential Ranchette (RR),Setbacks Summary,"Zones Development Standards - Residential Ranchette (RR)
Setbacks Summary

Minimum setbacks required. See Section 35.30.150 (Setback Requirements and Exceptions) for exceptions. Required building separation is between buildings on the same site.",52.0
Zones Development Standards - Residential Ranchette (RR),Front Setback Primary,"Zones Development Standards - Residential Ranchette (RR)
Front Setback Primary

50 ft from road centerline, or 20 ft from right-of-way, or
20 ft from private easement serving 5 or more lots. 10 ft minimum
If lot is within SC-MC overlay - as required by Section 35.28.175 (SC-MC Overlay Zone)",81.0
Zones Development Standards - Residential Ranchette (RR),Front Setback Secondary,"Zones Development Standards - Residential Ranchette (RR)
Front Setback Secondary

For a lot with a width of less than 100 ft the setback shall be 20% of lot width, 10 ft minimum.
For a lot with a width 100 ft or more - Same as front setback primary
For lots within SC-MC overlay - as required by Section 35.28.175 (SC-MC Overlay Zone).",88.0
Zones Development Standards - Residential Ranchette (RR),Side Setback,"Zones Development Standards - Residential Ranchette (RR)
Side Setback

For a lot greater than 1 acre the side setback shall be 20 ft. For a lot less than 1 acre the side setback shall be 10% of lot width with no less than 5 ft or more than 10 ft required.",64.0
Zones Development Standards - Residential Ranchette (RR),Rear Setback,"Zones Development Standards - Residential Ranchette (RR)
Rear Setback

25 ft on a lot of less than 1 acre or 20ft if lot is greater than 1 acre",40.0
Zones Development Standards - Residential Ranchette (RR),Accessory Structures,"Zones Development Standards - Residential Ranchette (RR)
Accessory Structures

See Section 35.42.020 (Accessory Structures and Uses).",33.0
Zones Development Standards - Residential Ranchette (RR),Building Seperation,"Zones Development Standards - Residential Ranchette (RR)
Building Seperation

None, except as required by Building Code.",29.0
Zones Development Standards - Residential Ranchette (RR),Height Limit Summary,"Zones Development Standards - Residential Ranchette (RR)
Height Limit Summary

Maximum allowable height of structures except where a lesser height is required by design review or other provisions of this Development Code. See Section 35.30.090 (Height Measurement, Exceptions and Limitations) for height measurement requirements, and height limit exceptions.",70.0
Zones Development Standards - Residential Ranchette (RR),Maximum height,"Zones Development Standards - Residential Ranchette (RR)
Maximum height

35 ft.
Toro Canyon Plan area - 25 ft for a residential structure.",35.0
Zones Development Standards - Residential Ranchette (RR),Landscaping,"Zones Development Standards - Residential Ranchette (RR)
Landscaping

See Chapter 35.34 (Landscaping Standards).",30.0
Zones Development Standards - Residential Ranchette (RR),Parking,"Zones Development Standards - Residential Ranchette (RR)
Parking

See Chapter 35.36 (Parking and Loading Standards).",30.0
Zones Development Standards - Residential Ranchette (RR),Signs,"Zones Development Standards - Residential Ranchette (RR)
Signs

See Chapter 35.38 (Sign Standards).",27.0
Zones Development Standards - Single Family Residential (R-1),Maximum Density,"Zones Development Standards - Single Family Residential (R-1)
Maximum Density

Maximum number of dwelling units allowed on a lot. The actual number of units allowed will be determined through subdivision or planning permit approval.. The maximum density for Residential Ranchette zones will be one-family dwelling per lot; plus one or more accessory dwelling units and/or one junior accessory dwelling unit per lot where allowed in compliance with Section 35.42.015 (Accessory Dwelling Units and Junior Accessory Dwelling Units); Agricultural employee housing and farmworker housing if allowed by Section 35.23.030 (Residential Zones Allowable Land Uses). The lot shall also comply with Section 35.23.040 (Residential Zones Lot Standards), as applicable.",154.0
Zones Development Standards - Single Family Residential (R-1),Front Setback Primary,"Zones Development Standards - Single Family Residential (R-1)
Front Setback Primary

50 ft from road centerline, or 20 ft from right-of-way, or 20 ft from private easement serving 5 or more lots otherwise 10ft minimum. If lot is within SC-MC overlay - as required by Section 35.28.175 (SC-MC Overlay Zone)",80.0
Zones Development Standards - Single Family Residential (R-1),Front Setback Secondary,"Zones Development Standards - Single Family Residential (R-1)
Front Setback Secondary

For a lot with a width of less than 100 ft the setback shall be 20% of lot width. Otherwise 10 ft minimum. For a lot with a width 100 ft or more - Same as front setback primary. For lots within SC-MC overlay - as required by Section 35.28.175 (SC-MC Overlay Zone).",88.0
Zones Development Standards - Single Family Residential (R-1),Side Setback,"Zones Development Standards - Single Family Residential (R-1)
Side Setback

10% of lot width or except where zoned for minimum lot area of 2 acre or less - setback shall be 5 ft minimum, otherwise 10 ft maximum required. For 3 acre or more - 1setaback shall be 10 ft minimum, otherwise 20 ft maximum required.",74.0
Zones Development Standards - Single Family Residential (R-1),Rear Setback,"Zones Development Standards - Single Family Residential (R-1)
Rear Setback

25 ft or 15 ft if the lot abuts permanent open space or a street without access.",39.0
Zones Development Standards - Single Family Residential (R-1),Accessory Structures,"Zones Development Standards - Single Family Residential (R-1)
Accessory Structures

See Section 35.42.020 (Accessory Structures and Uses).",33.0
Zones Development Standards - Single Family Residential (R-1),Building Seperation,"Zones Development Standards - Single Family Residential (R-1)
Building Seperation

5 ft between a dwelling or guesthouse, and another detached structure; otherwise none, except as required by Building Code..",44.0
Zones Development Standards - Single Family Residential (R-1),Height Limit Summary,"Zones Development Standards - Single Family Residential (R-1)
Height Limit Summary

Maximum allowable height of structures except where a lesser height is required by design review or other provisions of this Development Code. See Section 35.30.090 (Height Measurement, Exceptions and Limitations) for height measurement requirements, and height limit exceptions.",70.0
Zones Development Standards - Single Family Residential (R-1),Maximum height,"Zones Development Standards - Single Family Residential (R-1)
Maximum height

35 ft.
Toro Canyon Plan area - 25 ft. for a residential structure.
Summerland Community Plan area - 25 ft. for a residential structure in the Urban area and Existing Developed Rural Neighborhoods. 16 ft. in the Rural area. See Section 35.28.210 (Community Plan Overlays).",85.0
Zones Development Standards - Single Family Residential (R-1),Landscaping,"Zones Development Standards - Single Family Residential (R-1)
Landscaping

See Chapter 35.34 (Landscaping Standards).",30.0
Zones Development Standards - Single Family Residential (R-1),Parking,"Zones Development Standards - Single Family Residential (R-1)
Parking

See Chapter 35.36 (Parking and Loading Standards).",30.0
Zones Development Standards - Single Family Residential (R-1),Signs,"Zones Development Standards - Single Family Residential (R-1)
Signs

See Chapter 35.38 (Sign Standards).",27.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Maximum Density,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Maximum Density

Maximum number of dwelling units allowed on a lot. The actual number of units allowed will be determined through subdivision or planning permit approval.. The maximum density for Residential Ranchette zones will be one-family dwelling per lot; plus one or more accessory dwelling units and/or one junior accessory dwelling unit per lot where allowed in compliance with Section 35.42.015 (Accessory Dwelling Units and Junior Accessory Dwelling Units); Agricultural employee housing and farmworker housing if allowed by Section 35.23.030 (Residential Zones Allowable Land Uses). The lot shall also comply with Section 35.23.040 (Residential Zones Lot Standards), as applicable.",156.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Setbacks Summary,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Setbacks Summary

Minimum setbacks required. See Section 35.30.150 (Setback Requirements and Exceptions) for exceptions. Required building separation is between buildings on the same site.",54.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Front Setback Primary,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Front Setback Primary

75 ft from road centerline;
125 ft from centerline of road with right-of-way of 80 ft or more.",49.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Front Setback Secondary,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Front Setback Secondary

Lot width less than 100 ft - 20% of lot width, 10 ft minimum;
Lot width 100 ft or more - Same as primary front setback.
Lot within SC-MC overlay - as required by Section 35.28.175 (SC-MC Overlay Zone).",78.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Side,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Side

25 ft; see Section 35.23.070 (EX-1 Zone Standards) for a lot less than 150 ft wide.",45.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Rear,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Rear

25 ft.",23.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Accessory Structures,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Accessory Structures

See Section 35.42.020 (Accessory Structures and Uses).",35.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Building Seperation,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Building Seperation

5 ft between a dwelling or guesthouse, and another detached structure; otherwise none, except as required by Building Code..",46.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Height Limit Summary,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Height Limit Summary

Maximum allowable height of structures except where a lesser height is required by design review or other provisions of this Development Code. See Section 35.30.090 (Height Measurement, Exceptions and Limitations) for height measurement requirements, and height limit exceptions.",72.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Maximum height,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Maximum height

30 ft.",23.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Landscaping,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Landscaping

See Chapter 35.34 (Landscaping Standards).",32.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Parking,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Parking

See Chapter 35.36 (Parking and Loading Standards).",32.0
Zones Development Standards - One-Family Exclusive Residential (EX-1),Signs,"Zones Development Standards - One-Family Exclusive Residential (EX-1)
Signs

See Chapter 35.38 (Sign Standards).",29.0
Zones Development Standards - Two-Family Residential (R-2),Maximum Density,"Zones Development Standards - Two-Family Residential (R-2)
Maximum Density

Maximum number of dwelling units allowed on a lot. The actual number of units allowed will be determined through subdivision or planning permit approval. One one-family dwelling or one two-family dwelling per lot; plus one or more accessory dwelling units and/or one junior accessory dwelling unit per lot where allowed in compliance with Section 35.42.015 (Accessory Dwelling Units and Junior Accessory Dwelling Units). The lot shall also comply with Section 35.23.040 (Residential Zones Lot Standards), as applicable.",124.0
Zones Development Standards - Two-Family Residential (R-2),Setbacks Summary,"Zones Development Standards - Two-Family Residential (R-2)
Setbacks Summary

Minimum setbacks required. See Section 35.30.150 (Setback Requirements and Exceptions) for exceptions. Required building separation is between buildings on the same site.",53.0
Zones Development Standards - Two-Family Residential (R-2),Front Setback Primary,"Zones Development Standards - Two-Family Residential (R-2)
Front Setback Primary

50 ft from road centerline, or 20 ft from right-of-way, or 20 ft from easement serving 5 or more lots.",50.0
Zones Development Standards - Two-Family Residential (R-2),Front Setback Secondary,"Zones Development Standards - Two-Family Residential (R-2)
Front Setback Secondary

Lot width less than 100 ft - 20% of lot width, 10 ft minimum;
Lot width 100 ft or greater - same as primary front setback.",52.0
Zones Development Standards - Two-Family Residential (R-2),Side,"Zones Development Standards - Two-Family Residential (R-2)
Side

10% of lot width, with no less than 5 ft or more than 10 ft required.",37.0
Zones Development Standards - Two-Family Residential (R-2),Rear,"Zones Development Standards - Two-Family Residential (R-2)
Rear

25 ft; 15 ft if lot rear abuts permanent open space or a street without access.",38.0
Zones Development Standards - Two-Family Residential (R-2),Accessory Structures,"Zones Development Standards - Two-Family Residential (R-2)
Accessory Structures

See Section 35.42.020 (Accessory Structures and Uses).",34.0
Zones Development Standards - Two-Family Residential (R-2),Building Seperation,"Zones Development Standards - Two-Family Residential (R-2)
Building Seperation

5 ft between a dwelling and other detached structure.",31.0
Zones Development Standards - Two-Family Residential (R-2),Maximum site coverage,"Zones Development Standards - Two-Family Residential (R-2)
Maximum site coverage

N.A.",24.0
Zones Development Standards - Two-Family Residential (R-2),Height Limit Summary,"Zones Development Standards - Two-Family Residential (R-2)
Height Limit Summary

Maximum allowable height of structures. See Section 35.30.090 (Height Measurement, Exceptions and Limitations).",44.0
Zones Development Standards - Two-Family Residential (R-2),Maximum height,"Zones Development Standards - Two-Family Residential (R-2)
Maximum height

35 ft.",22.0
Zones Development Standards - Two-Family Residential (R-2),Landscaping,"Zones Development Standards - Two-Family Residential (R-2)
Landscaping

See Chapter 35.34 (Landscaping Standards).",31.0
Zones Development Standards - Two-Family Residential (R-2),Parking,"Zones Development Standards - Two-Family Residential (R-2)
Parking

See Chapter 35.36 (Parking and Loading Standards).",31.0
Zones Development Standards - Two-Family Residential (R-2),Signs,"Zones Development Standards - Two-Family Residential (R-2)
Signs

See Chapter 35.38 (Sign Standards).",28.0
Zones Development Standards - Design Residential (DR),Maximum Density,"Zones Development Standards - Design Residential (DR)
Maximum Density

Maximum number of dwelling units allowed on a lot. The actual number of units allowed will be determined through subdivision or planning permit approval. See Section 35.23.060 (DR Zone Standards); plus one or more accessory dwelling units and/or one junior accessory dwelling unit per lot where allowed in compliance with Section 35.42.015 (Accessory Dwelling Units and Junior Accessory Dwelling Units).",95.0
Zones Development Standards - Design Residential (DR),Setbacks Summary,"Zones Development Standards - Design Residential (DR)
Setbacks Summary

Minimum setbacks required. See Section 35.30.150 (Setback Requirements and Exceptions) for exceptions. Required building separation is between buildings on the same site.",49.0
Zones Development Standards - Design Residential (DR),Front Setback Primary,"Zones Development Standards - Design Residential (DR)
Front Setback Primary

20 ft from right-of-way, or 20 ft from easement serving 5 or more dwellings.",38.0
Zones Development Standards - Design Residential (DR),Front Setback Secondary,"Zones Development Standards - Design Residential (DR)
Front Setback Secondary

Lot width less than 100 ft - 20% of lot width, 10 ft minimum;
Lot width 100 ft or greater - same as primary front setback.",48.0
Zones Development Standards - Design Residential (DR),Side,"Zones Development Standards - Design Residential (DR)
Side

10 ft. Except where a larger setback is required by the Commission for light, air, or privacy in the review of a discretionary planning permit.",43.0
Zones Development Standards - Design Residential (DR),Rear,"Zones Development Standards - Design Residential (DR)
Rear

10 ft. Except where a larger setback is required by the Commission for light, air, or privacy in the review of a discretionary planning permit.",44.0
Zones Development Standards - Design Residential (DR),Accessory Structures,"Zones Development Standards - Design Residential (DR)
Accessory Structures

See Section 35.42.020 (Accessory Structures and Uses).",30.0
Zones Development Standards - Design Residential (DR),Building Seperation,"Zones Development Standards - Design Residential (DR)
Building Seperation

5 ft between a habitable structure and another structure.",27.0
Zones Development Standards - Design Residential (DR),Maximum site coverage,"Zones Development Standards - Design Residential (DR)
Maximum site coverage

30% for structures containing dwelling units. See Section 35.23.060.D for site coverage and height limit standards for qualifying affordable housing, senior housing, or special care housing developments.",54.0
Zones Development Standards - Design Residential (DR),Height Limit Summary,"Zones Development Standards - Design Residential (DR)
Height Limit Summary

Maximum allowable height of structures. See Section 35.30.090 (Height Measurement, Exceptions and Limitations).",40.0
Zones Development Standards - Design Residential (DR),Maximum height,"Zones Development Standards - Design Residential (DR)
Maximum height

35 ft; 25 ft for a residential structure within the Toro Canyon Plan area. See Section 35.23.060.D for site coverage and height limit standards for qualifying affordable housing, senior housing, or special care housing developments.",61.0
Zones Development Standards - Design Residential (DR),Landscaping,"Zones Development Standards - Design Residential (DR)
Landscaping

See Chapter 35.34 (Landscaping Standards).",27.0
Zones Development Standards - Design Residential (DR),Parking,"Zones Development Standards - Design Residential (DR)
Parking

See Chapter 35.36 (Parking and Loading Standards).",27.0
Zones Development Standards - Design Residential (DR),Signs,"Zones Development Standards - Design Residential (DR)
Signs

See Chapter 35.38 (Sign Standards).",24.0
Zones Development Standards - Planned Residential Development (PRD),Maximum Density,"Zones Development Standards - Planned Residential Development (PRD)
Maximum Density

Maximum number of dwelling units allowed on a lot. The actual number of units allowed will be determined through subdivision or planning permit approval. As specified in the Land Use Element; plus plus one or more accessory dwelling units and/or one junior accessory dwelling unit per lot where allowed in compliance with Section 35.42.015 (Accessory Dwelling Units and Junior Accessory Dwelling Units).",94.0
Zones Development Standards - Planned Residential Development (PRD),Setbacks Summary,"Zones Development Standards - Planned Residential Development (PRD)
Setbacks Summary

Minimum setbacks required. See Section 35.30.150 (Setback Requirements and Exceptions) for exceptions. Required building separation is between buildings on the same site.",51.0
Zones Development Standards - Planned Residential Development (PRD),Front Setback Primary,"Zones Development Standards - Planned Residential Development (PRD)
Front Setback Primary

As determined by Final Development Plan.",26.0
Zones Development Standards - Planned Residential Development (PRD),Front Setback Secondary,"Zones Development Standards - Planned Residential Development (PRD)
Front Setback Secondary

As determined by Final Development Plan.",26.0
Zones Development Standards - Planned Residential Development (PRD),Side,"Zones Development Standards - Planned Residential Development (PRD)
Side

As determined by Final Development Plan.",23.0
Zones Development Standards - Planned Residential Development (PRD),Rear,"Zones Development Standards - Planned Residential Development (PRD)
Rear

As determined by Final Development Plan.",24.0
Zones Development Standards - Planned Residential Development (PRD),Accessory Structures,"Zones Development Standards - Planned Residential Development (PRD)
Accessory Structures

As determined by Final Development Plan.",25.0
Zones Development Standards - Planned Residential Development (PRD),Building Seperation,"Zones Development Standards - Planned Residential Development (PRD)
Building Seperation

As determined by Final Development Plan.",26.0
Zones Development Standards - Planned Residential Development (PRD),Maximum site coverage,"Zones Development Standards - Planned Residential Development (PRD)
Maximum site coverage

30% for structures containing dwelling units; 50% for all structures.",32.0
Zones Development Standards - Planned Residential Development (PRD),Height Limit Summary,"Zones Development Standards - Planned Residential Development (PRD)
Height Limit Summary

Maximum allowable height of structures. See Section 35.30.090 (Height Measurement, Exceptions and Limitations).",42.0
Zones Development Standards - Planned Residential Development (PRD),Maximum height,"Zones Development Standards - Planned Residential Development (PRD)
Maximum height

35 ft.",20.0
Zones Development Standards - Planned Residential Development (PRD),Landscaping,"Zones Development Standards - Planned Residential Development (PRD)
Landscaping

See Chapter 35.34 (Landscaping Standards).",29.0
Zones Development Standards - Planned Residential Development (PRD),Parking,"Zones Development Standards - Planned Residential Development (PRD)
Parking

See Chapter 35.36 (Parking and Loading Standards).",29.0
Zones Development Standards - Planned Residential Development (PRD),Signs,"Zones Development Standards - Planned Residential Development (PRD)
Signs

See Chapter 35.38 (Sign Standards).",26.0
Zones Development Standards - Small Lot Planned Development (SLP),Minimum lot area and width,"Zones Development Standards - Small Lot Planned Development (SLP)
Minimum lot area and width

See Section 35.23.110 (SLP Zone Standards)",34.0
Zones Development Standards - Small Lot Planned Development (SLP),Maximum Density,"Zones Development Standards - Small Lot Planned Development (SLP)
Maximum Density

One one-family dwelling per lot; 7 dwellings per acre; plus one or more accessory dwelling units and/or one junior accessory dwelling unit per lot where allowed in compliance with Section 35.42.015 (Accessory Dwelling Units and Junior Accessory Dwelling Units).",73.0
Zones Development Standards - Small Lot Planned Development (SLP),Front Setback Primary,"Zones Development Standards - Small Lot Planned Development (SLP)
Front Setback Primary

SLP perimeter lot - 50 ft from road centerline or 20 ft from right-of-way. SLP interior lot - 10 ft.",49.0
Zones Development Standards - Small Lot Planned Development (SLP),Front Setback Secondary,"Zones Development Standards - Small Lot Planned Development (SLP)
Front Setback Secondary

SLP perimeter lot -
Lot width less than 100 ft - 20% of lot width, 10 ft minimum;
Lot width 100 ft or greater - Same as primary front setback.
SLP interior lot - 10 ft.",66.0
Zones Development Standards - Small Lot Planned Development (SLP),Setbacks Side,"Zones Development Standards - Small Lot Planned Development (SLP)
Setbacks Side

SLP perimeter lot - 15 ft. SLP interior lot - 5 ft; 10 ft where setback abuts a road,
public parking area or walk; See Section 35.23.110.B (Side
setbacks and building separation)",69.0
Zones Development Standards - Small Lot Planned Development (SLP),Setbacks Rear,"Zones Development Standards - Small Lot Planned Development (SLP)
Setbacks Rear

SLP perimeter lot - 15 ft.
SLP interior lot - 10 ft.",36.0
Zones Development Standards - Small Lot Planned Development (SLP),Accessory Structures,"Zones Development Standards - Small Lot Planned Development (SLP)
Accessory Structures

See Section 35.42.020 (Accessory Structures and Uses).",33.0
Zones Development Standards - Small Lot Planned Development (SLP),Building Seperation,"Zones Development Standards - Small Lot Planned Development (SLP)
Building Seperation

5 ft between a habitable structure and any other building, none otherwise.",34.0
Zones Development Standards - Small Lot Planned Development (SLP),Maximum Coverage,"Zones Development Standards - Small Lot Planned Development (SLP)
Maximum Coverage

5 ft between a habitable structure and any other building, none otherwise.",32.0
Zones Development Standards - Small Lot Planned Development (SLP),Maximum Height,"Zones Development Standards - Small Lot Planned Development (SLP)
Maximum Height

25 ft",20.0
Zones Development Standards - Small Lot Planned Development (SLP),Landscaping,"Zones Development Standards - Small Lot Planned Development (SLP)
Landscaping

See Chapter 35.34 (Landscaping Standards).",30.0
Zones Development Standards - Small Lot Planned Development (SLP),Parking,"Zones Development Standards - Small Lot Planned Development (SLP)
Parking

See Chapter 35.36 (Parking and Loading Standards).",30.0
Zones Development Standards - Small Lot Planned Development (SLP),Signs,"Zones Development Standards - Small Lot Planned Development (SLP)
Signs

See Chapter 35.38 (Sign Standards).",27.0
"Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Minimum lot area and width,"Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Minimum lot area and width

See Section 35.23.080 (MHP Zone Standards) and Section 35.23.090 (MHS Zone Standards)",52.0
